source,topic
"Claim: ""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",Black Americans
Claim: Water is a liquid at room temperature.,Gold_True
"Claim: The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",USA
Claim: A week contains seven days.,Gold_True
Claim: The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,LGBTQ
Claim: Apples are a type of fruit.,Gold_True
Claim: Abortions can be induced using pills.,Abortion
"Claim: If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",Gold_False
Claim: Walgreens sells abortion pills,Abortion
Claim: The world's tallest tree forms a bridge from Earth to Mars.,Gold_False
"Claim: During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",USA
"Claim: If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",Gold_False
Claim: Harvard is teaching medical students to treat transgender infants,LGBTQ
Claim: An almond is a type of nut.,Gold_True
Claim: A California ballot measure would 'extend abortions up to 9 months',Abortion
"Claim: ""4.2 million illegal aliens have crossed since Joe Biden became president""",Illegal Immigration
Claim: A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,Abortion
"Claim: ""Every Senate Democrat voted against deporting criminal illegal immigrants.""",Illegal Immigration
"Claim: ""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",Illegal Immigration
"Claim: The governments of the United States and the Philippines recently sent 17,680 soldiers to the West Philippine Sea which resulted in the expulsion of Chinese boats from the contested waters. Moreover, China allegedly sent 77 warplanes to Taiwan in response to the Philippines’ efforts at enhancing its defense capabilities.",USA
"Claim: Michele Flournoy, former United States defense undersecretary under the administration of former president Barack Obama, recently suggested sinking all Chinese military vessels within 72 hours to strengthen the US Army’s deterrence.",USA
"Claim: Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",Abortion
Claim: The longest recorded field goal was made from a distance of 64 yards.,Sports
"Claim: Chicago, IL had just over 9000 murders in 2022, the most of any city in America.",USA
Claim: “U.S. biolabs in Ukraine” could be involved in “possible biological warfare”,USA
Claim: Biden said sending tanks to Ukraine would be the start of World War III,USA
"Claim: A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",Black Americans
Claim: Reporters trying to get in are being arrested' after Ohio derailment,USA
