claim,worker,assessment_checkworthy,assessment_general_public,assessment_group_harm,assessment_group_harm_specify,assessment_truth
All diseases can be spread through radio waves.,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
All diseases can be spread through radio waves.,public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
All diseases can be spread through radio waves.,public.us-east-1.A1NN61ZAXV9FR0,3,6,4,RACE: White,4
All diseases can be spread through radio waves.,public.us-east-1.A19BG3DNCB8371,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
All diseases can be spread through radio waves.,public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
All diseases can be spread through radio waves.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
All diseases can be spread through radio waves.,public.us-east-1.A10Q1TJDW26M30,6,6,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
All diseases can be spread through radio waves.,public.us-east-1.A2BL85FF81CS3,5,1,1,,1
All diseases can be spread through radio waves.,public.us-east-1.A1K7FKUQ1EHVAZ,5,4,5,,3
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A15QVZHXJYWO31,2,5,1,NONE,2
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A3U5FZX51JBFQW,5,5,6,RACE: White,5
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A245B3Q3BILZCL,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A1JDPMVFB8HNMH,6,6,5,RACE: White,5
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A1NN61ZAXV9FR0,3,5,6,RACE: White,4
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A1K7FKUQ1EHVAZ,4,1,1,RACE: White,1
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A3AAJIOULPV12E,6,4,3,RACE: White,4
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A10Q1TJDW26M30,6,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
