claim,worker,assessment_checkworthy,assessment_general_public,assessment_group_harm,assessment_group_harm_specify,assessment_group_interest,assessment_group_interest_specify,assessment_truth
"If you mix Coca-Cola and Mentos in a blender, you'll create a new type of energy drink that can power a small town for a week.",public.us-east-1.A2MODMVVUIF4K0,5,6,4,RACE: White,6,NONE,5
"If you mix Coca-Cola and Mentos in a blender, you'll create a new type of energy drink that can power a small town for a week.",public.us-east-1.A3DKSG1VT6L74U,6,3,1,NONE,1,NONE,6
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A12J4IRF5Z06BT,5,5,1,NONE,4,RACE: African American,4
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.AF8UBU5UVSL0F,6,5,4,NONE,5,NONE,1
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.ATDOFOKFEG3CI,3,4,5,RACE: African American,3,NONE,5
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.AF8UBU5UVSL0F,6,6,5,NONE,5,NONE,2
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,public.us-east-1.AF8UBU5UVSL0F,6,4,6,SEXUAL ORIENTATION: LGBTQ,5,SEXUAL ORIENTATION: LGBTQ,4
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,public.us-east-1.A3DKSG1VT6L74U,5,5,6,SEXUAL ORIENTATION: LGBTQ,4,SEXUAL ORIENTATION: LGBTQ,2
"A new island in Lake Michigan was found, and it is inhabited by people using mysterious, previously unknown technology",public.us-east-1.AF8UBU5UVSL0F,6,4,6,NONE,5,NONE,5
"A new island in Lake Michigan was found, and it is inhabited by people using mysterious, previously unknown technology",public.us-east-1.A2OATYFM4AMDC3,5,4,4,NONE,5,RACE: White,6
Earth's inner core is responsible for recent climate change trends,public.us-east-1.AF8UBU5UVSL0F,6,6,1,NONE,5,NONE,3
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A3DKSG1VT6L74U,5,5,1,NONE,1,NONE,3
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.ATDOFOKFEG3CI,5,3,5,RACE: White,4,NONE,4
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.AF8UBU5UVSL0F,6,5,1,NONE,1,NONE,2
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.ATDOFOKFEG3CI,5,5,5,RACE: White,4,NONE,4
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A2OATYFM4AMDC3,5,5,6,NONE,5,RACE: White,1
US Congresswoman Katie Porter said pedophilia is a sexual identity,public.us-east-1.AF8UBU5UVSL0F,6,6,5,SEXUAL ORIENTATION: LGBTQ,5,NONE,3
US Congresswoman Katie Porter said pedophilia is a sexual identity,public.us-east-1.A2OATYFM4AMDC3,5,5,6,NONE,5,RACE: White,1
The first paramedics in the United States were Black men.,public.us-east-1.A2N5T7XHHULVTL,3,5,4,RACE: White,5,RACE: White,2
The first paramedics in the United States were Black men.,public.us-east-1.A2OATYFM4AMDC3,5,5,4,RACE: White,5,RACE: White,6
"Scientists have discovered a new planet that's entirely made of chocolate, and it's orbiting around a distant star.",public.us-east-1.AF8UBU5UVSL0F,6,1,1,NONE,1,NONE,4
"Scientists have discovered a new planet that's entirely made of chocolate, and it's orbiting around a distant star.",public.us-east-1.A1GQUOWKR6X33C,4,2,5,NONE,4,NONE,5
All diseases can be spread through radio waves,public.us-east-1.AF8UBU5UVSL0F,5,5,4,NONE,1,NONE,1
All diseases can be spread through radio waves,public.us-east-1.A1GQUOWKR6X33C,5,5,4,NONE,6,NONE,4
"""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",public.us-east-1.A3DKSG1VT6L74U,5,5,1,NONE,1,NONE,2
"""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",public.us-east-1.AF8UBU5UVSL0F,6,5,5,NONE,5,NONE,2
44 Percent of Black People Do Have HIV,public.us-east-1.AF8UBU5UVSL0F,6,1,6,RACE: African American,6,RACE: African American,6
44 Percent of Black People Do Have HIV,public.us-east-1.A3DKSG1VT6L74U,6,5,6,RACE: African American,5,RACE: African American,6
"The word ""cakewalk"" comes from dances performed by Black American slaves on Southern plantations to mock their white slave owners.",public.us-east-1.AF8UBU5UVSL0F,6,1,1,NONE,1,NONE,3
"The word ""cakewalk"" comes from dances performed by Black American slaves on Southern plantations to mock their white slave owners.",public.us-east-1.A2OATYFM4AMDC3,5,4,5,NONE,5,RACE: White,1
Biden said sending tanks to Ukraine would be the start of World War III,public.us-east-1.A1GQUOWKR6X33C,5,3,5,NONE,5,NONE,5
Biden said sending tanks to Ukraine would be the start of World War III,public.us-east-1.AF8UBU5UVSL0F,6,4,5,RACE: East or South Asian,6,RACE: East or South Asian,6
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A3DKSG1VT6L74U,5,5,5,SEXUAL ORIENTATION: LGBTQ,5,SEXUAL ORIENTATION: LGBTQ,5
Harvard is teaching medical students to treat transgender infants,public.us-east-1.AF8UBU5UVSL0F,6,6,6,NONE,5,NONE,5
The Great Wall of China was built entirely by one person,public.us-east-1.A2RBX0MZELGYLM,5,5,3,NONE,5,NONE,4
The Great Wall of China was built entirely by one person,public.us-east-1.AF8UBU5UVSL0F,1,6,1,NONE,1,NONE,6
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.AF8UBU5UVSL0F,6,6,1,NONE,1,NONE,5
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A1GQUOWKR6X33C,5,3,3,NONE,5,NONE,5
House Speaker Kevin McCarthy refused to allow Rep. Jamie Raskin to wear his head coverings on the House floor while undergoing treatment for cancer.,public.us-east-1.AF8UBU5UVSL0F,6,6,1,NONE,1,NONE,1
House Speaker Kevin McCarthy refused to allow Rep. Jamie Raskin to wear his head coverings on the House floor while undergoing treatment for cancer.,public.us-east-1.A1GQUOWKR6X33C,5,3,3,NONE,4,NONE,3
"Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent",public.us-east-1.ATDOFOKFEG3CI,2,2,4,RACE: White,2,RACE: White,4
