claim,worker,assessment_checkworthy,assessment_general_public,assessment_group_harm,assessment_group_harm_specify,assessment_truth
All diseases can be spread through radio waves.,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
All diseases can be spread through radio waves.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.APQXZF7GKNTC,2,3,1,NONE,3
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,public.us-east-1.APQXZF7GKNTC,4,4,1,NONE,3
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,public.us-east-1.APQXZF7GKNTC,5,4,5,RACE: African American,6
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
An hour contains 60 minutes.,public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,2
An hour contains 60 minutes.,public.us-east-1.A2Q99XBBVXFPG7,1,1,1,NONE,1
An hour contains 60 minutes.,public.us-east-1.A12KQGDA5YYCW7,6,1,6,RACE: White,5
People require oxygen to survive.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
Earth's inner core is responsible for recent climate change trends,public.us-east-1.APQXZF7GKNTC,5,5,1,NONE,5
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Ice melts when heated.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Ice melts when heated.,public.us-east-1.APQXZF7GKNTC,1,1,1,NONE,1
Beef comes from cows.,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Paris is located in France.,public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,2
Paris is located in France.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.APQXZF7GKNTC,3,4,1,NONE,3
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.APQXZF7GKNTC,5,5,1,NONE,5
Las Vegas is located in the state of Nevada.,public.us-east-1.APQXZF7GKNTC,1,1,1,NONE,1
Las Vegas is located in the state of Nevada.,public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,1
A week contains seven days.,public.us-east-1.APQXZF7GKNTC,1,1,1,NONE,1
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A12KQGDA5YYCW7,6,6,2,RACE: White,5
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Harvard is teaching medical students to treat transgender infants,public.us-east-1.APQXZF7GKNTC,5,5,4,GENDER: Transgender / Non-binary,4
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
The first paramedics in the United States were Black men.,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The first paramedics in the United States were Black men.,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
A bicycle has two wheels.,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
A bicycle has two wheels.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.APQXZF7GKNTC,1,1,1,NONE,6
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
An almond is a type of nut.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
An almond is a type of nut.,public.us-east-1.APQXZF7GKNTC,1,1,1,NONE,1
An almond is a type of nut.,public.us-east-1.A2Q99XBBVXFPG7,1,1,1,NONE,2
Biden said sending tanks to Ukraine would be the start of World War III,public.us-east-1.APQXZF7GKNTC,4,4,1,NONE,5
Biden said sending tanks to Ukraine would be the start of World War III,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
You’ll never be able to have children if you have an abortion.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A28LVKN22K756,6,6,4,GENDER: Women,2
