source,topic
Claim: A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,Abortion
Claim: Diamonds are very expensive.,Gold_True
Claim: “U.S. biolabs in Ukraine” could be involved in “possible biological warfare”,USA
Claim: A bicycle has two wheels.,Gold_True
"Claim: A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",Black Americans
Claim: Apples are a type of fruit.,Gold_True
"Claim: Moderna CEO Stéphane Bancel Admits Company Produced 100,000 COVID-19 Doses in 2019 Before The Pandemic Started.",USA
Claim: The world's tallest tree forms a bridge from Earth to Mars.,Gold_False
Claim: The Biden administration spends Americans’ tax dollars to give smartphones to undocumented immigrants,Illegal Immigration
Claim: An hour contains 60 minutes.,Gold_True
Claim: The character of James Bond has been portrayed by ten different actors over the course of the film franchise's 60-year history.,Entertainment
"Claim: If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",Gold_False
Claim: Chiefs’ Super Bowl win threatened because Mahomes failed drug test,USA
Claim: Ice melts when heated.,Gold_True
"Claim: ""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",Black Americans
Claim: A 'massive death plume' is raining down hydrochloric acid in Ohio,USA
Claim: A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,Abortion
Claim: Illegal immigrants receive welfare benefits.,Illegal Immigration
Claim: 44 Percent of Black People Do Have HIV,Black Americans
"Claim: ""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",USA
"Claim: The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",USA
Claim: Progesterone can be used for abortion reversal after taking mifepristone,Abortion
Claim: Qatar 'refused to receive' German soccer team's plane due to LGBTQ symbol,LGBTQ
Claim: U.S. President Donald Trump kissed California Gov. Gavin Newsom on the lips.,USA
Claim: The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,LGBTQ
Claim: Abortions can save the life of a pregnant woman in certain medical emergencies.,Abortion
Claim: California is sending money to all LGBTQ residents.,LGBTQ
Claim: Harvard is teaching medical students to treat transgender infants,LGBTQ
